C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/01,07:30:02,0000000401196365,DEMAND,0000000401196364
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",NSW1,1306.974,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",QLD1,1116.775,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",QLDC,131.654,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",QLDN,146.603,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",QLDS,838.518,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",SA1,286.91,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",TAS1,65.08,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",TASN,35.728,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",TASS,29.353,0.6,SATELLITE,"2023/11/01 07:20:26"
D,ROOFTOP,ACTUAL,2,"2023/11/01 07:00:00",VIC1,559.733,0.6,SATELLITE,"2023/11/01 07:20:26"
C,"END OF REPORT",13
