C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/04,12:30:02,0000000407567932,DEMAND,0000000407567932
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",NSW1,2933.935,1,MEASUREMENT,"2024/01/04 12:19:13"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",QLD1,3278.737,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",QLDC,242.657,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",QLDN,576.534,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",QLDS,2459.545,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",SA1,942.967,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",TAS1,179.981,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",TASN,111.248,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",TASS,68.951,1,MEASUREMENT,"2024/01/04 12:19:14"
D,ROOFTOP,ACTUAL,2,"2024/01/04 12:00:00",VIC1,2121.189,1,MEASUREMENT,"2024/01/04 12:19:14"
C,"END OF REPORT",13
