C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/06/15,12:30:01,0000000389640542,DEMAND,0000000389640541
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",NSW1,2099.697,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",QLD1,2517.38,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",QLDC,251.076,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",QLDN,376.506,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",QLDS,1889.798,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",SA1,595.38,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",TAS1,67.742,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",TASN,37.157,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",TASS,30.585,0.6,SATELLITE,"2023/06/15 12:20:27"
D,ROOFTOP,ACTUAL,2,"2023/06/15 12:00:00",VIC1,609.976,0.6,SATELLITE,"2023/06/15 12:20:27"
C,"END OF REPORT",13
