C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/05/19,08:30:03,0000000387514169,DEMAND,0000000387514169
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",NSW1,495.255,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",QLD1,840.608,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",QLDC,72.723,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",QLDN,124.29,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",QLDS,643.595,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",SA1,5.734,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",TAS1,5.891,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",TASN,3.708,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",TASS,2.19,1,MEASUREMENT,"2023/05/19 08:19:20"
D,ROOFTOP,ACTUAL,2,"2023/05/19 08:00:00",VIC1,64.136,1,MEASUREMENT,"2023/05/19 08:19:21"
C,"END OF REPORT",13
