C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/29,07:00:02,0000000409664398,DEMAND,0000000409664398
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",NSW1,408.223,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",QLD1,274.094,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",QLDC,14.583,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",QLDN,13.918,0.7,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",QLDS,245.593,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",SA1,14.386,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",TAS1,15.885,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",TASN,4.006,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",TASS,11.823,1,MEASUREMENT,"2024/01/29 06:49:13"
D,ROOFTOP,ACTUAL,2,"2024/01/29 06:30:00",VIC1,151.785,1,MEASUREMENT,"2024/01/29 06:49:13"
C,"END OF REPORT",13
