C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/11/26,17:00:02,0000000403553084,DEMAND,0000000403553084
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",NSW1,1230.36,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",QLD1,1136.907,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",QLDC,73.548,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",QLDN,161.075,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",QLDS,902.283,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",SA1,936.574,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",TAS1,58.623,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",TASN,31.367,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",TASS,27.264,1,MEASUREMENT,"2023/11/26 16:49:13"
D,ROOFTOP,ACTUAL,2,"2023/11/26 16:30:00",VIC1,949.461,1,MEASUREMENT,"2023/11/26 16:49:13"
C,"END OF REPORT",13
