C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/05/13,10:00:03,0000000387066814,DEMAND,0000000387066814
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",NSW1,1553.905,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",QLD1,1842.118,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",QLDC,147.844,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",QLDN,243.961,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",QLDS,1450.314,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",SA1,430.7,1,MEASUREMENT,"2023/05/13 09:49:20"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",TAS1,57.312,1,MEASUREMENT,"2023/05/13 09:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",TASN,33.675,1,MEASUREMENT,"2023/05/13 09:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",TASS,23.678,1,MEASUREMENT,"2023/05/13 09:49:21"
D,ROOFTOP,ACTUAL,2,"2023/05/13 09:30:00",VIC1,667.035,1,MEASUREMENT,"2023/05/13 09:49:21"
C,"END OF REPORT",13
