C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/12/25,20:30:02,0000000406777599,DEMAND,0000000406777598
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",NSW1,0,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",QLD1,0,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",QLDC,0,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",QLDN,0,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",QLDS,0,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",SA1,13.962,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",TAS1,0.619,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",TASN,0.295,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",TASS,0.324,0.6,SATELLITE,"2023/12/25 20:20:23"
D,ROOFTOP,ACTUAL,2,"2023/12/25 20:00:00",VIC1,1.593,0.6,SATELLITE,"2023/12/25 20:20:23"
C,"END OF REPORT",13
