C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/04,07:30:03,0000000388755761,DEMAND,0000000388755761
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",NSW1,3.163,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",QLD1,17.991,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",QLDC,4.794,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",QLDN,1.605,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",QLDS,11.592,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",SA1,0,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",TAS1,0,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",TASN,0,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",TASS,0,1,MEASUREMENT,"2023/06/04 07:19:21"
D,ROOFTOP,ACTUAL,2,"2023/06/04 07:00:00",VIC1,0,1,MEASUREMENT,"2023/06/04 07:19:22"
C,"END OF REPORT",13
