C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/23,13:00:03,0000000387836539,DEMAND,0000000387836538
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",NSW1,2429.653,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",QLD1,2668.367,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",QLDC,259.377,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",QLDN,454.976,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",QLDS,1954.013,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",SA1,460.798,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",TAS1,45.793,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",TASN,31.829,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",TASS,13.964,0.6,SATELLITE,"2023/05/23 12:50:22"
D,ROOFTOP,ACTUAL,2,"2023/05/23 12:30:00",VIC1,1313.835,0.6,SATELLITE,"2023/05/23 12:50:22"
C,"END OF REPORT",13
