C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/28,17:00:02,0000000403771868,DEMAND,0000000403771867
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",NSW1,562.326,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",QLD1,504.137,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",QLDC,36.218,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",QLDN,285.425,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",QLDS,182.494,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",SA1,336.523,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",TAS1,58.815,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",TASN,28.288,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",TASS,30.526,0.6,SATELLITE,"2023/11/28 16:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/28 16:30:00",VIC1,765.258,0.6,SATELLITE,"2023/11/28 16:50:22"
C,"END OF REPORT",13
