C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/29,08:00:02,0000000403834484,DEMAND,0000000403834483
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",NSW1,987.618,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",QLD1,1555.775,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",QLDC,174.619,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",QLDN,251.312,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",QLDS,1129.844,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",SA1,294.032,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",TAS1,75.299,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",TASN,50.023,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",TASS,25.275,0.6,SATELLITE,"2023/11/29 07:50:21"
D,ROOFTOP,ACTUAL,2,"2023/11/29 07:30:00",VIC1,235.088,0.6,SATELLITE,"2023/11/29 07:50:22"
C,"END OF REPORT",13
