C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/09/29,16:30:01,0000000398400580,DEMAND,0000000398400580
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",NSW1,1824.592,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",QLD1,1635.31,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",QLDC,138.237,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",QLDN,304.25,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",QLDS,1192.823,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",SA1,998.223,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",TAS1,67.289,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",TASN,38.321,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",TASS,29.002,1,MEASUREMENT,"2023/09/29 16:19:11"
D,ROOFTOP,ACTUAL,2,"2023/09/29 16:00:00",VIC1,1413.942,1,MEASUREMENT,"2023/09/29 16:19:11"
C,"END OF REPORT",13
