C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/26,15:00:03,0000000383570652,DEMAND,0000000383570651
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",NSW1,1582.213,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",QLD1,1882.212,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",QLDC,224.931,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",QLDN,481.816,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",QLDS,1175.465,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",SA1,258.295,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",TAS1,93.48,0.6,SATELLITE,"2023/03/26 14:50:23"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",TASN,45.118,0.6,SATELLITE,"2023/03/26 14:50:24"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",TASS,48.362,0.6,SATELLITE,"2023/03/26 14:50:24"
D,ROOFTOP,ACTUAL,2,"2023/03/26 14:30:00",VIC1,1122.776,0.6,SATELLITE,"2023/03/26 14:50:24"
C,"END OF REPORT",13
