C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/06/30,12:30:02,0000000390825156,DEMAND,0000000390825155
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",NSW1,2037.389,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",QLD1,2584.495,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",QLDC,218.363,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",QLDN,464.835,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",QLDS,1901.297,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",SA1,498.095,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",TAS1,65.027,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",TASN,39.538,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",TASS,25.489,0.6,SATELLITE,"2023/06/30 12:20:23"
D,ROOFTOP,ACTUAL,2,"2023/06/30 12:00:00",VIC1,732.419,0.6,SATELLITE,"2023/06/30 12:20:23"
C,"END OF REPORT",13
