C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/12/08,08:30:01,0000000404861296,DEMAND,0000000404861296
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",NSW1,2155.841,1,MEASUREMENT,"2023/12/08 08:19:17"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",QLD1,1989.332,1,MEASUREMENT,"2023/12/08 08:19:17"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",QLDC,184.218,1,MEASUREMENT,"2023/12/08 08:19:17"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",QLDN,283.971,1,MEASUREMENT,"2023/12/08 08:19:17"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",QLDS,1521.143,1,MEASUREMENT,"2023/12/08 08:19:17"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",SA1,236.876,1,MEASUREMENT,"2023/12/08 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",TAS1,111.043,1,MEASUREMENT,"2023/12/08 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",TASN,59.33,1,MEASUREMENT,"2023/12/08 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",TASS,51.728,1,MEASUREMENT,"2023/12/08 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/12/08 08:00:00",VIC1,360.973,1,MEASUREMENT,"2023/12/08 08:19:18"
C,"END OF REPORT",13
