C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/15,08:30:03,0000000387206618,DEMAND,0000000387206617
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",NSW1,556.127,0.6,SATELLITE,"2023/05/15 08:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",QLD1,617.781,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",QLDC,60.126,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",QLDN,105.913,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",QLDS,451.742,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",SA1,58.954,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",TAS1,7.883,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",TASN,5.556,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",TASS,2.328,0.6,SATELLITE,"2023/05/15 08:20:26"
D,ROOFTOP,ACTUAL,2,"2023/05/15 08:00:00",VIC1,213.357,0.6,SATELLITE,"2023/05/15 08:20:26"
C,"END OF REPORT",13
