C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/08/03,10:00:01,0000000393642418,DEMAND,0000000393642417
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",NSW1,1726.217,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",QLD1,1700.962,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",QLDC,194.909,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",QLDN,235.779,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",QLDS,1270.274,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",SA1,446.29,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",TAS1,26.151,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",TASN,15.553,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",TASS,10.597,0.6,SATELLITE,"2023/08/03 09:50:23"
D,ROOFTOP,ACTUAL,2,"2023/08/03 09:30:00",VIC1,919.509,0.6,SATELLITE,"2023/08/03 09:50:23"
C,"END OF REPORT",13
