C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/22,18:00:02,0000000403177835,DEMAND,0000000403177834
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",NSW1,444.699,0.6,SATELLITE,"2023/11/22 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",QLD1,383.446,0.6,SATELLITE,"2023/11/22 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",QLDC,24.384,0.6,SATELLITE,"2023/11/22 17:50:22"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",QLDN,80.179,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",QLDS,278.883,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",SA1,648.331,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",TAS1,54.517,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",TASN,33.135,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",TASS,21.382,0.6,SATELLITE,"2023/11/22 17:50:23"
D,ROOFTOP,ACTUAL,2,"2023/11/22 17:30:00",VIC1,880.335,0.6,SATELLITE,"2023/11/22 17:50:23"
C,"END OF REPORT",13
