C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/02/16,15:30:02,0000000411270218,DEMAND,0000000411270218
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",NSW1,2105.044,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",QLD1,975.202,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",QLDC,98.696,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",QLDN,152.786,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",QLDS,723.72,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",SA1,1485.19,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",TAS1,163.255,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",TASN,91.509,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",TASS,71.828,1,MEASUREMENT,"2024/02/16 15:19:14"
D,ROOFTOP,ACTUAL,2,"2024/02/16 15:00:00",VIC1,2309.33,1,MEASUREMENT,"2024/02/16 15:19:14"
C,"END OF REPORT",13
