C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/13,14:30:02,0000000382657534,DEMAND,0000000382657533
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",NSW1,1395.824,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",QLD1,2556.242,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",QLDC,87.232,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",QLDN,417.601,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",QLDS,2051.409,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",SA1,1261.131,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",TAS1,87.042,0.6,SATELLITE,"2023/03/13 14:20:23"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",TASN,34.16,0.6,SATELLITE,"2023/03/13 14:20:24"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",TASS,52.882,0.6,SATELLITE,"2023/03/13 14:20:24"
D,ROOFTOP,ACTUAL,2,"2023/03/13 14:00:00",VIC1,2336.332,0.6,SATELLITE,"2023/03/13 14:20:24"
C,"END OF REPORT",13
