C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/09/30,17:00:01,0000000398484907,DEMAND,0000000398484907
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",NSW1,1231.561,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",QLD1,1061.999,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",QLDC,116.381,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",QLDN,155.749,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",QLDS,789.869,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",SA1,814.194,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",TAS1,48.136,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",TASN,24.356,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",TASS,23.769,1,MEASUREMENT,"2023/09/30 16:49:12"
D,ROOFTOP,ACTUAL,2,"2023/09/30 16:30:00",VIC1,1088.211,1,MEASUREMENT,"2023/09/30 16:49:12"
C,"END OF REPORT",13
