C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/10/23,11:00:01,0000000400369252,DEMAND,0000000400369252
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",NSW1,4119.66,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",QLD1,3666.802,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",QLDC,322.41,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",QLDN,574.084,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",QLDS,2770.308,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",SA1,1340.569,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",TAS1,118.063,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",TASN,86.349,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",TASS,31.991,1,MEASUREMENT,"2023/10/23 10:49:07"
D,ROOFTOP,ACTUAL,2,"2023/10/23 10:30:00",VIC1,1503.72,1,MEASUREMENT,"2023/10/23 10:49:07"
C,"END OF REPORT",13
