C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/05/11,09:30:03,0000000386911615,DEMAND,0000000386911614
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",NSW1,1457.462,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",QLD1,1599.132,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",QLDC,145.162,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",QLDN,192.172,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",QLDS,1261.799,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",SA1,334.859,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",TAS1,40.364,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",TASN,21.662,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",TASS,18.703,0.6,SATELLITE,"2023/05/11 09:20:25"
D,ROOFTOP,ACTUAL,2,"2023/05/11 09:00:00",VIC1,711.952,0.6,SATELLITE,"2023/05/11 09:20:26"
C,"END OF REPORT",13
